DATE_senti,AvgPos,AvgNeg
19-08-2018,0.724540437,-0.4765
20-08-2018,0.664127459,-0.493506796
21-08-2018,0.657790741,-0.45485
22-08-2018,0.659520472,-0.51803908
23-08-2018,0.644776419,-0.480132727
24-08-2018,0.624972222,-0.46207234
25-08-2018,0.663751613,-0.465765714
26-08-2018,0.618557895,-0.473219481
27-08-2018,0.675185572,-0.48651
28-08-2018,0.591085657,-0.483090476
29-08-2018,0.685902564,-0.504426966
30-08-2018,0.6005,-0.465247619
31-08-2018,0.600033333,-0.506501351
01-09-2018,0.589877297,-0.518225
02-09-2018,0.671523437,-0.644370968
03-09-2018,0.696906122,-0.526592593
04-09-2018,0.667446043,-0.497462
05-09-2018,0.649603835,-0.359827
06-09-2018,0.60543969,-0.41037574
07-09-2018,0.598628311,-0.517258268
08-09-2018,0.659621154,-0.564787179
09-09-2018,0.67090678,-0.580913333
10-09-2018,0.608490074,-0.457295098
11-09-2018,0.646235437,-0.549759375
12-09-2018,0.650919915,-0.439706349
13-09-2018,0.674750459,-0.443293939
14-09-2018,0.664170909,-0.474482
15-09-2018,0.609686897,-0.393145
16-09-2018,0.701426374,-0.455892
17-09-2018,0.665910976,-0.415417647
18-09-2018,0.6264,-0.476240816
19-09-2018,0.680984871,-0.565085915
20-09-2018,0.662821818,-0.548459375
21-09-2018,0.711430769,-0.475135
22-09-2018,0.719291667,-0.568724074
23-09-2018,0.675565833,-0.499419048
24-09-2018,0.625991304,-0.457166129
25-09-2018,0.62677551,-0.492937705
26-09-2018,0.599704054,-0.576768182
27-09-2018,0.677216129,-0.525975926
28-09-2018,0.811348413,-0.448115
29-09-2018,0.787180745,-0.503248649
30-09-2018,0.694903419,-0.584996429
01-10-2018,0.616770183,-0.540488372
02-10-2018,0.695524571,-0.54014
03-10-2018,0.66657619,-0.538687755
04-10-2018,0.656162992,-0.6063
05-10-2018,0.655851351,-0.466712069
06-10-2018,0.628986525,-0.567652
07-10-2018,0.660700847,-0.390465385
08-10-2018,0.655802564,-0.531940625
09-10-2018,0.654326437,-0.547766667
10-10-2018,0.643065625,-0.541714
11-10-2018,0.667610345,-0.548551786
12-10-2018,0.686407746,-0.481048214
13-10-2018,0.692568,-0.473527273
14-10-2018,0.645857407,-0.572012857
15-10-2018,0.643031317,-0.648647525
