DATE,Avg_Pos,Avg_Neg
19-08-2018,0.66191164,-0.599624519
20-08-2018,0.5787618,-0.575802216
21-08-2018,0.600650437,-0.589396275
22-08-2018,0.777844689,-0.659390496
23-08-2018,0.638517951,-0.548049662
24-08-2018,0.579635818,-0.574176592
25-08-2018,0.68803118,-0.568333939
26-08-2018,0.775461867,-0.550268959
27-08-2018,0.627496955,-0.573122402
28-08-2018,0.622376087,-0.557022605
29-08-2018,0.650021529,-0.582244628
30-08-2018,0.641197988,-0.582686716
31-08-2018,0.654617138,-0.566475909
01-09-2018,0.659314819,-0.565493028
02-09-2018,0.647288281,-0.610464595
03-09-2018,0.665322228,-0.584441452
04-09-2018,0.620660973,-0.597672834
05-09-2018,0.71908916,-0.585059563
06-09-2018,0.621716747,-0.593191291
07-09-2018,0.680114001,-0.563469211
08-09-2018,0.671445922,-0.58739501
09-09-2018,0.677107252,-0.635651813
10-09-2018,0.68648066,-0.612781701
11-09-2018,0.624606226,-0.621749274
12-09-2018,0.620657183,-0.600400158
13-09-2018,0.657431987,-0.584171896
14-09-2018,0.640505783,-0.576042186
15-09-2018,0.620449429,-0.54406466
16-09-2018,0.687202395,-0.634105855
17-09-2018,0.606653325,-0.584815421
18-09-2018,0.675740675,-0.57107852
19-09-2018,0.655468298,-0.572586325
20-09-2018,0.704351392,-0.57889478
21-09-2018,0.680879558,-0.560251004
22-09-2018,0.682648298,-0.605487005
23-09-2018,0.669224847,-0.656635413
24-09-2018,0.645965539,-0.609041935
25-09-2018,0.665454379,-0.562489039
26-09-2018,0.650439308,-0.587612619
27-09-2018,0.705889751,-0.57848755
28-09-2018,0.713255369,-0.552637939
29-09-2018,0.68752657,-0.580443392
30-09-2018,0.647440392,-0.608183475
01-10-2018,0.695015365,-0.600990841
02-10-2018,0.703675524,-0.582196499
03-10-2018,0.636344648,-0.598350269
04-10-2018,0.596131962,-0.571057794
05-10-2018,0.686926961,-0.56292306
06-10-2018,0.699265104,-0.566408719
07-10-2018,0.70377489,-0.546431878
08-10-2018,0.713834815,-0.589166008
09-10-2018,0.692323907,-0.590198439
10-10-2018,0.715321522,-0.620787208
11-10-2018,0.705119133,-0.631706551
12-10-2018,0.69408596,-0.58628236
13-10-2018,0.685392382,-0.611614571
14-10-2018,0.701320112,-0.604921097
15-10-2018,0.681547617,-0.596057288
16-10-2018,0.638702295,-0.594112279
17-10-2018,0.723768629,-0.532062977
18-10-2018,0.710957206,-0.560377656
19-10-2018,0.62986132,-0.622067953
20-10-2018,0.654403205,-0.598004871
21-10-2018,0.685809802,-0.616916639
22-10-2018,0.686408275,-0.591112392
23-10-2018,0.68504802,-0.610615701
24-10-2018,0.674747967,-0.595742737
25-10-2018,0.736159457,-0.588554627
26-10-2018,0.703726859,-0.575628236
27-10-2018,0.675804132,-0.619132977
28-10-2018,0.733368287,-0.603682878
29-10-2018,0.671941683,-0.595195246
30-10-2018,0.750828075,-0.599853293
31-10-2018,0.694475608,-0.595702628
01-11-2018,0.711824107,-0.593392506
02-11-2018,0.667733554,-0.596444945
03-11-2018,0.788592158,-0.61102028
04-11-2018,0.687383501,-0.616465376
05-11-2018,0.65489541,-0.613414538
06-11-2018,0.748235332,-0.584232275
07-11-2018,0.772907284,-0.561103761
08-11-2018,0.695390365,-0.611175922
09-11-2018,0.687323087,-0.630387402
10-11-2018,0.714253786,-0.637990093
