DATE_senti,avg_Pos,avg_Neg
19-08-2018,0.794618051,-0.394952
20-08-2018,0.723696689,-0.555557895
21-08-2018,0.693567516,-0.518306838
22-08-2018,0.704988279,-0.538985915
23-08-2018,0.762710417,-0.34451681
24-08-2018,0.708338944,-0.416510236
25-08-2018,0.744234452,-0.435481081
26-08-2018,0.829819336,-0.493609091
27-08-2018,0.708416397,-0.406738614
28-08-2018,0.778022904,-0.551841818
29-08-2018,0.722880614,-0.513168852
30-08-2018,0.682591118,-0.531545238
31-08-2018,0.750136765,-0.501934
01-09-2018,0.812220375,-0.448813462
02-09-2018,0.729845824,-0.491563043
03-09-2018,0.732154819,-0.503674118
04-09-2018,0.707082187,-0.510567164
05-09-2018,0.760243408,-0.4997
06-09-2018,0.719414149,-0.462969159
07-09-2018,0.70024954,-0.516924088
08-09-2018,0.727490019,-0.384810435
09-09-2018,0.648499363,-0.451362687
10-09-2018,0.734960821,-0.463271
11-09-2018,0.665473554,-0.474019481
12-09-2018,0.645159647,-0.444930508
13-09-2018,0.694321659,-0.444709231
14-09-2018,0.74397669,-0.515439474
15-09-2018,0.735578378,-0.500661765
16-09-2018,0.715484743,-0.556518
17-09-2018,0.688362791,-0.478676543
18-09-2018,0.624670913,-0.4956
19-09-2018,0.705458396,-0.429748
20-09-2018,0.723611739,-0.578913768
21-09-2018,0.656833987,-0.422467797
22-09-2018,0.621738086,-0.526910937
23-09-2018,0.621076489,-0.510442857
24-09-2018,0.726418057,-0.601602339
25-09-2018,0.788622929,-0.548593069
26-09-2018,0.756726159,-0.497545552
27-09-2018,0.722237186,-0.481387143
28-09-2018,0.695444039,-0.432136296
29-09-2018,0.68637795,-0.506822222
30-09-2018,0.619831818,-0.5925
01-10-2018,0.700335404,-0.517954268
02-10-2018,0.555322857,-0.685321739
03-10-2018,0.661083271,-0.487923729
04-10-2018,0.712730174,-0.539018943
05-10-2018,0.730851064,-0.484735802
06-10-2018,0.747531615,-0.54344375
07-10-2018,0.787081385,-0.530891667
08-10-2018,0.680341782,-0.563375781
09-10-2018,0.693425911,-0.578519072
10-10-2018,0.690934532,-0.531535849
11-10-2018,0.713915385,-0.502223611
12-10-2018,0.72253658,-0.486920833
13-10-2018,0.731345819,-0.53471
14-10-2018,0.717225088,-0.34995873
15-10-2018,0.712848589,-0.532663043
16-10-2018,0.729200706,-0.42723494
17-10-2018,0.748804023,-0.509264286
18-10-2018,0.728094406,-0.583341176
19-10-2018,0.760165647,-0.470195604
20-10-2018,0.76420433,-0.443151111
21-10-2018,0.70502,-0.628779808
22-10-2018,0.72478531,-0.525552747
23-10-2018,0.708518891,-0.473401875
24-10-2018,0.751694245,-0.52454507
25-10-2018,0.674997433,-0.53773057
26-10-2018,0.624966573,-0.52410566
27-10-2018,0.726912889,-0.330269431
28-10-2018,0.775836339,-0.406559722
29-10-2018,0.721504319,-0.592977273
30-10-2018,0.667312849,-0.47245
31-10-2018,0.623062928,-0.541284681
01-11-2018,0.689423699,-0.554249219
02-11-2018,0.681891723,-0.519429457
03-11-2018,0.713961921,-0.424
04-11-2018,0.781798536,-0.495714
05-11-2018,0.704385613,-0.50746125
06-11-2018,0.681377953,-0.512928261
07-11-2018,0.756700262,-0.618346875
08-11-2018,0.72997172,-0.575622388
09-11-2018,0.740569271,-0.703574731
