DATE,Avg_Pos,Avg_Neg
19-08-2018,0.652676579,-0.543984004
20-08-2018,0.633127841,-0.584997994
21-08-2018,0.626128348,-0.616076987
22-08-2018,0.684047978,-0.615349304
23-08-2018,0.650901478,-0.566875247
24-08-2018,0.621938535,-0.580526115
25-08-2018,0.656602633,-0.571360078
26-08-2018,0.706507276,-0.615932158
27-08-2018,0.644656093,-0.606140499
28-08-2018,0.638921424,-0.60897864
29-08-2018,0.639854668,-0.601062345
30-08-2018,0.641574716,-0.585740554
31-08-2018,0.644237841,-0.586231676
01-09-2018,0.691248442,-0.597330764
02-09-2018,0.653797354,-0.592939281
03-09-2018,0.646298103,-0.586817016
04-09-2018,0.635111301,-0.585704946
05-09-2018,0.67700832,-0.586171308
06-09-2018,0.636507257,-0.563327301
07-09-2018,0.652158896,-0.581924648
08-09-2018,0.654663589,-0.584706788
09-09-2018,0.660686753,-0.552876643
10-09-2018,0.658432495,-0.594683633
11-09-2018,0.633842343,-0.594099345
12-09-2018,0.636939992,-0.591487285
13-09-2018,0.615801654,-0.603537643
14-09-2018,0.612608142,-0.597291042
15-09-2018,0.666204792,-0.554491648
16-09-2018,0.631627292,-0.577143838
17-09-2018,0.639610653,-0.595570703
18-09-2018,0.652538104,-0.594145538
19-09-2018,0.643292048,-0.593430584
20-09-2018,0.672380826,-0.591894632
21-09-2018,0.65779873,-0.579565566
22-09-2018,0.637897771,-0.583232529
23-09-2018,0.633668705,-0.615918374
24-09-2018,0.628539559,-0.633221418
25-09-2018,0.645746809,-0.59220286
26-09-2018,0.674719544,-0.567010203
27-09-2018,0.695025354,-0.618586788
28-09-2018,0.686527903,-0.585516098
29-09-2018,0.647530567,-0.596903971
30-09-2018,0.625491835,-0.598586699
01-10-2018,0.65636735,-0.596366954
02-10-2018,0.638167369,-0.601486019
03-10-2018,0.616710438,-0.585600715
04-10-2018,0.620457069,-0.588960655
05-10-2018,0.644080109,-0.592332897
06-10-2018,0.64633105,-0.594555953
07-10-2018,0.653839849,-0.592208688
08-10-2018,0.688763932,-0.620719412
09-10-2018,0.675540316,-0.60357823
10-10-2018,0.688265844,-0.638676146
11-10-2018,0.688004946,-0.621462702
12-10-2018,0.670302158,-0.587797139
13-10-2018,0.653232785,-0.570848083
14-10-2018,0.64589114,-0.643229332
15-10-2018,0.63620895,-0.705075117
16-10-2018,0.657516325,-0.642247906
17-10-2018,0.684650005,-0.596246365
18-10-2018,0.592808532,-0.586408742
19-10-2018,0.622530939,-0.581199703
20-10-2018,0.633493303,-0.592877833
21-10-2018,0.670312356,-0.615978441
22-10-2018,0.669532762,-0.599263868
23-10-2018,0.652482752,-0.596483097
24-10-2018,0.638574259,-0.598631123
25-10-2018,0.667224878,-0.606189034
26-10-2018,0.679499652,-0.5857367
27-10-2018,0.657724702,-0.55298616
28-10-2018,0.682091917,-0.614518335
29-10-2018,0.652496811,-0.590752025
30-10-2018,0.64795052,-0.590970635
31-10-2018,0.635796144,-0.602886434
01-11-2018,0.680461636,-0.585507373
02-11-2018,0.653122251,-0.585542925
03-11-2018,0.715157928,-0.590722304
04-11-2018,0.660641519,-0.593641813
05-11-2018,0.638169974,-0.584776143
06-11-2018,0.682053985,-0.60654197
07-11-2018,0.731318761,-0.603180679
08-11-2018,0.695462393,-0.6027593
09-11-2018,0.676380451,-0.614689871
